Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
A9528	#	#	#	#	#	12	46	84	78	96	81	63	58	51	53	48	37	45	35	32			
A9529	#	#	#	#	#	#	12	11	13	17	#	#	#	#	#	#	#	#	#	#			
A9530	#	#	#	#	#	26	20	31	33	19	32	19	26	17	15	17	#	11	#	#			
A9531	#	#	#	#	#	27	35	59	67	60	53	55	36	33	31	32	27	29	21	19			
A9532	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9535	#	#	#	#	#	#	#	188	640	866	804	#	#	#	#	#	#	#	#	#			
A9536	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9537	#	#	#	#	#	#	#	617	712	846	875	888	844	843	840	797	726	770	710	722			
A9538	#	#	#	#	#	#	#	569	572	574	597	531	524	438	392	353	267	129	120	86			
A9539	#	#	#	#	#	#	#	305	317	365	431	425	430	382	380	338	292	123	113	85			
A9540	#	#	#	#	#	#	#	783	821	977	984	1053	1138	1222	1127	1098	1103	1090	1059	948			
A9541	#	#	#	#	#	#	#	6218	6990	8351	8940	9197	9865	10453	10918	10713	10698	10439	10027	3110			
A9542	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9543	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9544	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9545	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9546	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9547	#	#	#	#	#	#	#	74	76	75	62	56	47	43	40	27	27	14	12	#			
A9548	#	#	#	#	#	#	#	36	38	39	43	49	30	39	38	28	35	29	22	29			
A9550	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9551	#	#	#	#	#	#	#	27	56	42	17	19	12	12	#	14	#	#	#	#			
A9552	#	#	#	#	#	#	17	7935	11252	12995	14387	14921	15852	16359	16353	16397	17233	17868	18324	16426			
A9553	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9554	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9555	#	#	#	#	#	#	#	152	216	311	349	631	620	696	1021	1075	1115	1321	1449	1684			
A9556	#	#	#	#	#	#	#	54	37	44	23	36	50	38	22	24	19	26	13	#			
A9557	#	#	#	#	#	#	#	23	29	27	27	30	24	#	11	24	11	13	#	#			
A9558	#	#	#	#	#	#	#	312	324	372	363	434	467	455	460	466	413	420	368	380			
A9559	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9560	#	#	#	#	#	#	#	1884	1992	2062	2078	1857	1716	1589	1486	1450	1383	1231	1071	633			
A9561	#	#	#	#	#	#	#	2488	2557	2621	2357	1908	1817	1684	1460	1328	1356	1245	1125	875			
A9562	#	#	#	#	#	#	#	287	280	331	303	283	309	261	268	256	252	267	300	250			
A9563	#	#	#	#	#	#	#	21	16	#	11	#	#	#	#	#	#	#	#	#			
A9564	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9565	#	#	#	#	#	#	#	37	37	#	#	#	#	#	#	#	#	#	#	#			
A9566	#	#	#	#	#	#	#	12	16	#	#	#	#	#	#	#	#	#	#	#			
A9567	#	#	#	#	#	#	#	50	86	132	123	117	179	262	274	263	275	377	364	326			
A9568	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9569	#	#	#	#	#	#	#	#	#	14	13	#	14	21	11	16	11	15	15	#			
A9570	#	#	#	#	#	#	#	#	#	14	24	19	19	18	28	15	19	12	25	27			
A9571	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9572	#	#	#	#	#	#	#	#	#	54	54	65	62	69	73	75	79	87	64	45			
A9575	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	56	375	2843	4232	4919			
A9576	#	#	#	#	#	#	#	#	#	235	240	312	428	493	562	513	555	520	678	810			
A9577	#	#	#	#	#	#	#	#	#	1509	2193	2712	3140	3846	4596	5138	5827	6372	6553	5226			
A9578	#	#	#	#	#	#	#	#	#	278	290	277	278	369	575	861	765	746	464	400			
A9579	#	#	#	#	#	#	#	#	12	22691	23680	23322	24051	22533	20206	17381	15034	10658	8418	5252			
A9580	#	#	#	#	#	#	#	#	#	#	159	99	320	331	222	207	139	133	146	21			
A9581	#	#	#	#	#	#	#	#	#	#	#	96	156	204	215	267	333	292	319	310			
A9582	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9583	#	#	#	#	#	#	#	#	#	#	#	#	22	23	38	46	41	30	#	#			
A9584	#	#	#	#	#	#	#	#	#	#	#	#	#	64	83	86	106	125	143	175			
A9585	#	#	#	#	#	#	#	#	#	#	#	#	#	2435	5400	8416	11693	14683	16278	15115			
A9586	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	42	111	#			
A9587	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	39	94			
A9588	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9597	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9598	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9599	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	17	#	#			
A9600	#	#	#	#	#	#	11	11	#	#	#	#	#	#	#	#	#	#	#	#			
A9603	#	#	#	#	13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9604	#	#	#	#	#	#	#	#	#	#	#	23	26	18	15	11	#	#	#	#			
A9605	#	#	#	#	12	#	25	21	37	18	22	#	#	#	#	#	#	#	#	#			
A9606	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9698	#	#	#	#	#	#	#	51	131	150	130	102	97	102	91	68	55	84	72	37			
A9699	#	#	#	#	#	#	#	17	25	17	58	36	#	#	#	#	#	#	#	#			
A9700	#	#	34	70	91	148	110	71	36	18	#	#	14	13	11	17	21	28	26	30			
A9701	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9703	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9710	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9717	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9720	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9727	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9900	#	#	21	27	20	24	23	20	17	#	#	#	#	#	#	#	#	#	#	#			
A9901	#	#	#	#	#	#	#	#	26	15	#	#	#	#	#	#	#	#	#	#			
A9921	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9954	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9967	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
A9999	#	#	#	#	#	#	#	11	15	22	17	27	20	30	22	27	31	27	29	#			
AA140	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AA900	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AA910	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO130	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO370	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO390	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO398	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO425	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO427	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO428	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AO999	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AT989	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
AU270	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B0048	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B1003	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B2788	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4034	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4035	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4036	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4081	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4082	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4083	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4086	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4087	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	16	22			
B4088	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4150	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4152	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4153	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4154	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4155	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4156	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4164	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4168	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4176	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4178	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4185	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4186	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4193	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4197	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4216	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4220	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4224	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4443	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4484	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B4550	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B5027	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B5200	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B8173	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B8305	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B8309	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9002	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9004	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9160	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9201	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9259	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9260	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9998	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
B9999	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C0075	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C0283	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1000	#	34	70	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1001	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1004	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1005	#	58	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1006	#	32	38	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1008	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1010	#	#	#	#	15	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1011	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1012	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1013	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1014	#	#	15	19	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1015	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1016	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1017	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1018	#	#	#	16	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1019	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1021	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1022	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1026	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1028	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1029	#	11	19	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1030	#	#	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1031	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1033	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1034	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1036	#	16	45	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1037	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1038	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1039	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1042	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1043	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1047	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1048	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1051	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1054	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1056	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1057	#	38	97	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1058	#	#	#	155	38	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1060	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1061	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1064	#	#	#	23	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1065	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1066	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1067	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1068	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1069	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1071	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1074	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1075	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1076	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1078	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1079	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1080	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1082	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1083	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1087	#	63	306	447	69	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1088	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1090	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1091	#	#	14	36	34	46	56	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1092	#	#	13	19	29	31	28	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1093	#	#	#	#	#	#	21	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1094	#	96	368	528	104	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1095	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1096	#	#	23	34	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1097	#	43	175	248	47	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1098	#	44	182	288	49	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1099	#	65	240	379	55	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1101	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1102	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1104	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1109	#	#	17	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1116	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1117	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1118	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1119	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1122	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1123	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1125	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1126	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1127	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1128	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1134	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1135	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1136	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1144	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1145	#	32	43	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1146	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1151	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1152	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1153	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1155	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1162	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1163	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1164	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1166	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1167	#	#	42	91	76	15	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1170	#	13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1171	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1173	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1175	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1176	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1177	#	36	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1178	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1179	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1188	#	#	53	78	17	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1200	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1201	#	#	#	#	#	32	13	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1202	#	239	1608	2685	529	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1203	#	24	30	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1204	#	#	#	#	#	#	#	#	#	#	#	#	#	#	55	#	#	#	#	#			
C1205	#	#	32	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1207	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1300	#	#	19	35	44	50	71	66	95	104	117	119	146	149	198	193	#	#	#	#			
C1305	#	#	24	23	32	39	38	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1306	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1315	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1316	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1317	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1318	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1319	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1320	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1321	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1323	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1325	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1326	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1333	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1335	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1336	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1348	#	#	45	76	12	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1351	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1353	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1354	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1355	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1358	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1359	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1360	#	14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1361	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1362	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1363	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1365	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1366	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1367	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1368	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1370	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1371	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1372	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1375	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1376	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1378	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1379	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1709	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1713	#	#	73	231	#	136	312	507	638	789	949	1095	1287	1389	1518	1700	1944	2080	2399	3077			
C1714	#	#	#	#	#	#	15	37	48	42	64	69	60	51	79	61	63	66	49	64			
C1715	#	#	#	21	#	#	11	15	#	11	19	23	29	43	24	18	17	19	57	46			
C1716	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1717	#	#	#	37	#	98	186	384	532	583	540	563	623	471	421	392	387	391	341	163			
C1718	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1719	#	#	#	#	#	#	20	40	25	#	#	#	#	#	#	#	#	#	#	#			
C1720	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1721	#	#	#	#	#	#	44	39	41	69	78	101	105	92	110	104	97	94	94	102			
C1722	#	#	#	#	#	#	31	24	21	23	48	59	64	57	68	89	88	88	90	77			
C1723	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
C1724	#	#	#	#	#	#	#	15	16	21	30	38	51	34	61	84	84	82	85	97			
C1725	#	#	119	282	#	164	788	1133	1117	1405	1723	1731	1793	1805	1870	1920	1857	1763	1831	1749			
