Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
00544	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00546	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00548	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00550	#	#	#	#	16	20	19	22	18	31	28	27	19	12	21	16	20	19	20	17			
00560	81	101	104	80	91	97	125	143	133	143	132	112	137	146	229	267	366	489	612	656			
00561	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00562	743	779	720	717	748	787	783	779	712	756	529	474	510	496	499	494	480	437	417	379			
00563	#	#	20	33	31	31	26	43	45	34	53	58	36	45	38	46	48	35	32	34			
00566	#	#	60	108	112	122	118	92	95	85	84	91	67	46	43	44	38	37	31	30			
00567	#	#	#	#	#	#	#	#	#	#	212	248	205	197	216	203	204	221	203	201			
00580	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00600	139	178	174	183	183	210	214	229	188	181	164	147	134	118	114	121	101	100	96	110			
00604	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00620	30	36	51	80	108	113	150	121	87	105	99	93	87	86	82	66	69	72	96	102			
00622	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00625	#	#	#	#	#	#	#	#	#	#	#	12	#	#	#	#	#	#	#	#			
00626	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00630	675	827	947	1066	1111	1145	1163	1103	1196	1174	1112	1001	962	971	868	838	901	873	811	894			
00632	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00634	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00635	#	#	22	27	30	#	19	#	#	#	#	18	16	17	26	20	26	24	25	27			
00640	#	#	#	#	17	27	42	21	15	#	12	#	23	26	36	32	33	41	43	29			
00653	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00670	125	145	194	304	328	417	542	583	653	697	939	1074	1187	1272	1396	1481	1448	1538	1561	1636			
00679	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00700	36	60	39	52	46	61	71	84	85	98	83	105	116	129	126	131	140	142	156	148			
00702	#	#	#	#	#	#	#	#	#	#	#	14	17	#	25	24	31	46	41	40			
00710	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00730	12	16	25	24	38	46	21	20	15	11	11	#	#	#	#	15	#	#	#	#			
00731	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	12554			
00732	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	880			
00740	733	1039	1497	2369	3317	4385	5584	6950	7319	8122	9174	10554	11673	12950	13348	13649	13842	14377	14315	#			
00741	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00744	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00750	128	134	144	170	179	177	158	142	159	124	163	150	162	133	135	110	112	80	106	110			
00752	57	53	69	93	187	206	274	295	261	253	304	369	386	398	391	360	372	365	351	364			
00754	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00756	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00770	55	62	87	87	87	91	100	96	113	75	89	76	69	58	49	51	40	41	46	41			
00790	1859	2004	2328	2516	2939	3157	3604	3742	3907	3848	4073	3895	3936	4025	3702	3820	3742	3831	3628	3527			
00792	#	#	#	#	12	17	17	23	24	40	27	37	42	32	42	39	54	46	45	51			
00794	14	13	15	24	32	24	46	46	45	54	55	70	56	77	69	75	73	84	97	81			
00796	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00797	#	#	#	17	55	74	78	75	116	158	174	192	166	172	210	183	211	178	165	203			
00798	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00800	56	55	99	97	103	115	109	120	107	115	112	110	137	120	118	128	117	101	135	116			
00802	#	#	#	#	12	13	13	16	14	20	21	26	17	14	28	20	33	20	24	23			
00804	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00806	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
